description,type,image,endTime,startTime,title,venue,id
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-25 12:14:00+00:00,2024-12-25 09:14:00+00:00,Trip to London,Location-86,1b4fdZjKh5FODf3QSv6j
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-26 05:51:00+00:00,2024-12-26 01:51:00+00:00,Trip to Paris,Location-97,2dXVJUticiUULjy5WCaT
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-25 06:05:00+00:00,2024-12-25 02:05:00+00:00,Trip to Tokyo,Location-63,6AmgUsyzE7cllUZrMbXC
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-24 09:30:00+00:00,2024-12-24 07:30:00+00:00,Trip to Tokyo,Location-77,6AsZlajvoMCNd3M46M7c
This is a randomly generated itinerary.,Leisure,https://via.placeholder.com/400,2024-12-27 17:22:00+00:00,2024-12-27 13:22:00+00:00,Trip to New York,Location-63,6UhFSUe7TbLy3uOEZ9HC
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-24 12:30:00+00:00,2024-12-24 10:30:00+00:00,Trip to London,Location-65,G6GVSJRWuz4R21R68h4R
This is a randomly generated itinerary.,Leisure,https://via.placeholder.com/400,2024-12-24 16:01:00+00:00,2024-12-24 11:01:00+00:00,Trip to London,Location-84,MJCMsw4ajERwm2qmNzvD
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-27 18:29:00+00:00,2024-12-27 14:42:00+00:00,Trip to London,Location-10,R3kwQ2kjXshHNYPaqJ4z
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-27 13:35:00+00:00,2024-12-27 10:35:00+00:00,Trip to Tokyo,Location-55,TkZB1iUVDOpabBRoriqn
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-26 17:36:00+00:00,2024-12-26 12:36:00+00:00,Trip to New York,Location-97,ZJIl08KL9rW9J23EZtS8
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-27 10:22:00+00:00,2024-12-27 06:22:00+00:00,Trip to London,Location-54,czYcXDZLJwoAwjeI0Hfb
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-24 09:03:00+00:00,2024-12-24 05:03:00+00:00,Trip to Tokyo,Location-38,eIO1lSRwFdmgCtvOC3PX
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-26 04:41:00+00:00,2024-12-26 01:41:00+00:00,Trip to Paris,Location-67,koK04XtjsrrgZ8KYPRqu
This is a randomly generated itinerary.,Leisure,https://via.placeholder.com/400,2024-12-25 05:40:00+00:00,2024-12-25 01:40:00+00:00,Trip to Tokyo,Location-71,qc1gmUCxU8LtPU25dZIU
This is a randomly generated itinerary.,Business,https://via.placeholder.com/400,2024-12-25 12:21:00+00:00,2024-12-25 11:21:00+00:00,Trip to London,Location-30,s0h4yi8ERtEPv3UYXhtw
This is a randomly generated itinerary.,Adventure,https://via.placeholder.com/400,2024-12-26 13:56:00+00:00,2024-12-26 12:56:00+00:00,Trip to Tokyo,Location-21,yWJxUoCdC2u0pYc5YPFM
